lpa_name,borough,actual_completion_date,development_type
Bromley,Bromley,05/05/2010,New Build
Bromley,Bromley,11/08/2010,New Build
Bromley,Bromley,12/10/2010,New Build
Bromley,Bromley,25/10/2010,New Build
Bromley,Bromley,04/10/2010,New Build
Bromley,Bromley,03/08/2010,Conversion
Bromley,Bromley,20/05/2010,New Build
Bromley,Bromley,02/08/2010,New Build
Westminster,Westminster,31/05/2010,Conversion
Ealing,Ealing,17/03/2010,New Build
Southwark,Southwark,01/02/2010,New Build
Barnet,Barnet,31/08/2010,New Build
Southwark,Southwark,24/08/2010,Conversion
Ealing,Ealing,22/03/2010,Conversion
Lambeth,Lambeth,04/06/2010,Conversion
Sutton,Sutton,11/03/2010,Conversion
Bexley,Bexley,14/09/2010,Conversion
Lambeth,Lambeth,01/11/2010,Conversion
Lambeth,Lambeth,29/07/2010,Conversion
Barnet,Barnet,27/06/2010,New Build
Richmond,Richmond upon Thames,22/12/2010,New Build
Bexley,Bexley,14/09/2010,Conversion
Croydon,Croydon,10/02/2010,New Build
Sutton,Sutton,15/07/2010,New Build
Enfield,Enfield,04/10/2010,New Build
Newham,Newham,01/06/2010,New Build
Sutton,Sutton,01/02/2010,New Build
Enfield,Enfield,16/10/2010,Conversion
Bromley,Bromley,11/03/2010,New Build
Enfield,Enfield,31/03/2010,New Build
Lambeth,Lambeth,03/06/2010,Conversion
Barnet,Barnet,01/11/2010,New Build
Bromley,Bromley,16/09/2010,New Build
Westminster,Westminster,08/07/2010,Conversion
Newham,Newham,05/08/2010,Conversion
Barnet,Barnet,18/01/2010,Conversion
Ealing,Ealing,19/05/2010,Conversion
Croydon,Croydon,23/06/2010,New Build
Barnet,Barnet,14/01/2010,New Build
Enfield,Enfield,25/02/2010,Conversion
Enfield,Enfield,02/07/2010,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/01/2010,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2010,Conversion
Ealing,Ealing,01/09/2010,Conversion
Lambeth,Lambeth,02/02/2010,Conversion
Enfield,Enfield,25/02/2010,New Build
Sutton,Sutton,01/03/2010,Conversion
Bromley,Bromley,04/06/2010,New Build
Bromley,Bromley,09/06/2010,New Build
Ealing,Ealing,17/12/2010,Conversion
Southwark,Southwark,08/12/2010,Conversion
Barnet,Barnet,12/05/2010,New Build
Croydon,Croydon,23/03/2010,Conversion
Ealing,Ealing,07/01/2010,New Build
Westminster,Westminster,01/09/2010,New Build
Barnet,Barnet,09/03/2010,Conversion
Ealing,Ealing,19/11/2010,New Build
Barnet,Barnet,27/10/2010,New Build
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2010,New Build
Barnet,Barnet,20/10/2010,Conversion
Lambeth,Lambeth,08/12/2010,Conversion
Sutton,Sutton,01/03/2010,New Build
Sutton,Sutton,01/02/2010,New Build
Barnet,Barnet,01/03/2010,Conversion
Lambeth,Lambeth,29/11/2010,Conversion
Croydon,Croydon,31/12/2010,New Build
Lambeth,Lambeth,01/02/2010,New Build
Barnet,Barnet,19/05/2010,Conversion
Kingston,Kingston upon Thames,15/01/2010,Conversion
Lambeth,Lambeth,21/04/2010,New Build
Barnet,Barnet,10/05/2010,New Build
Sutton,Sutton,01/02/2010,New Build
Ealing,Ealing,09/07/2010,Conversion
Southwark,Southwark,24/08/2010,New Build
Richmond,Richmond upon Thames,10/07/2010,New Build
Bromley,Bromley,21/05/2010,New Build
