lpa_name,borough,actual_completion_date,development_type
Greenwich,Greenwich,21/01/2019,New Build
Merton,Merton,01/03/2019,New Build
Merton,Merton,30/10/2019,New Build
Merton,Merton,01/09/2019,New Build
Merton,Merton,05/07/2019,New Build
Merton,Merton,01/06/2019,New Build
Merton,Merton,01/11/2019,Conversion
Merton,Merton,01/08/2019,New Build
Merton,Merton,31/03/2019,Conversion
Merton,Merton,31/03/2019,New Build
Merton,Merton,01/09/2019,New Build
Merton,Merton,30/05/2019,Conversion
Merton,Merton,26/03/2019,Conversion
Merton,Merton,31/03/2019,New Build
Merton,Merton,31/03/2019,Minor dwellings
Merton,Merton,01/07/2019,New Build
Merton,Merton,01/07/2019,Conversion
Merton,Merton,25/02/2019,Conversion
Merton,Merton,01/09/2019,New Build
Merton,Merton,01/10/2019,New Build
Merton,Merton,31/07/2019,New Build
Merton,Merton,23/01/2019,New Build
Merton,Merton,01/10/2019,Conversion
Merton,Merton,12/01/2019,Conversion
Merton,Merton,08/02/2019,New Build
Merton,Merton,01/08/2019,Conversion
Merton,Merton,01/07/2019,Conversion
Merton,Merton,31/03/2019,New Build
Merton,Merton,31/01/2019,New Build
Merton,Merton,01/06/2019,New Build
Merton,Merton,01/07/2019,New Build
Merton,Merton,01/06/2019,Minor dwellings
Merton,Merton,01/05/2019,Conversion
Merton,Merton,31/03/2019,New Build
Merton,Merton,01/09/2019,New Build
Merton,Merton,11/01/2019,Conversion
Merton,Merton,24/08/2019,Conversion
Merton,Merton,14/09/2019,Conversion
Merton,Merton,29/07/2019,New Build
Merton,Merton,07/02/2019,Conversion
Merton,Merton,25/09/2019,New Build
Merton,Merton,01/12/2019,New Build
Merton,Merton,01/07/2019,Conversion
Merton,Merton,06/03/2019,Conversion
Merton,Merton,01/01/2019,Conversion
Merton,Merton,23/11/2019,New Build
Merton,Merton,13/12/2019,New Build
Merton,Merton,01/07/2019,Conversion
Merton,Merton,01/11/2019,Conversion
Merton,Merton,18/01/2019,Minor dwellings
Merton,Merton,01/10/2019,Conversion
Merton,Merton,23/09/2019,New Build
Merton,Merton,01/04/2019,Conversion
Merton,Merton,31/03/2019,Conversion
Merton,Merton,01/08/2019,Conversion
Merton,Merton,27/03/2019,New Build
Merton,Merton,01/05/2019,Conversion
Merton,Merton,01/10/2019,New Build
Merton,Merton,01/05/2019,New Build
Merton,Merton,01/07/2019,New Build
Merton,Merton,01/09/2019,New Build
Merton,Merton,01/12/2019,New Build
Merton,Merton,01/05/2019,Conversion
Merton,Merton,01/04/2019,New Build
Merton,Merton,01/07/2019,Conversion
Merton,Merton,07/10/2019,New Build
Merton,Merton,01/08/2019,New Build
Merton,Merton,04/03/2019,Conversion
Merton,Merton,01/04/2019,Conversion
Merton,Merton,20/11/2019,Conversion
Merton,Merton,27/11/2019,Conversion
Merton,Merton,07/01/2019,Conversion
Merton,Merton,01/07/2019,New Build
Merton,Merton,01/05/2019,New Build
Merton,Merton,23/09/2019,New Build
Merton,Merton,01/09/2019,New Build
Merton,Merton,01/08/2019,New Build
Merton,Merton,08/06/2019,New Build
Merton,Merton,31/03/2019,Conversion
Merton,Merton,01/05/2019,New Build
Merton,Merton,01/11/2019,New Build
Merton,Merton,15/06/2019,Conversion
Merton,Merton,01/06/2019,Conversion
Merton,Merton,01/11/2019,Conversion
Merton,Merton,01/06/2019,Conversion
Merton,Merton,31/03/2019,New Build
Merton,Merton,28/03/2019,New Build
Merton,Merton,31/03/2019,Conversion
Merton,Merton,01/06/2019,Conversion
Merton,Merton,01/03/2019,New Build
Merton,Merton,23/10/2019,New Build
Merton,Merton,25/09/2019,New Build
