lpa_name,borough,actual_completion_date,development_type
Richmond,Richmond upon Thames,01/10/2014,Conversion
Richmond,Richmond upon Thames,06/01/2014,New Build
Bromley,Bromley,11/09/2014,New Build
Bromley,Bromley,06/10/2014,New Build
Bromley,Bromley,04/03/2014,Conversion
Bromley,Bromley,01/12/2014,New Build
Bromley,Bromley,27/01/2014,New Build
Havering,Havering,17/10/2014,Conversion
Westminster,Westminster,31/03/2014,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/10/2014,New Build
Barnet,Barnet,08/12/2014,New Build
Bromley,Bromley,03/12/2014,New Build
Barnet,Barnet,01/02/2014,Conversion
Lambeth,Lambeth,29/07/2014,Conversion
Lambeth,Lambeth,01/03/2014,Conversion
Barnet,Barnet,11/12/2014,Conversion
Enfield,Enfield,12/02/2014,New Build
Croydon,Croydon,17/04/2014,Conversion
Bromley,Bromley,25/07/2014,New Build
Enfield,Enfield,30/01/2014,New Build
Newham,Newham,31/03/2014,New Build
Southwark,Southwark,04/04/2014,New Build
Richmond,Richmond upon Thames,01/08/2014,Conversion
Richmond,Richmond upon Thames,01/03/2014,New Build
Newham,Newham,09/06/2014,New Build
Ealing,Ealing,22/04/2014,Conversion
Croydon,Croydon,30/07/2014,Conversion
Bromley,Bromley,13/02/2014,New Build
Lambeth,Lambeth,15/12/2014,New Build
Sutton,Sutton,31/03/2014,New Build
Lambeth,Lambeth,09/07/2014,Conversion
Richmond,Richmond upon Thames,02/12/2014,New Build
Bexley,Bexley,20/08/2014,New Build
Southwark,Southwark,20/02/2014,New Build
Ealing,Ealing,01/04/2014,New Build
Croydon,Croydon,27/06/2014,New Build
Richmond,Richmond upon Thames,07/07/2014,New Build
Sutton,Sutton,31/12/2014,New Build
Bromley,Bromley,24/02/2014,Conversion
Lambeth,Lambeth,01/05/2014,Conversion
Lambeth,Lambeth,01/07/2014,Conversion
Ealing,Ealing,30/11/2014,New Build
Hammersmith & Fulham,Hammersmith and Fulham,20/10/2014,Conversion
Westminster,Westminster,08/08/2014,Conversion
Westminster,Westminster,28/08/2014,Conversion
Westminster,Westminster,22/07/2014,Conversion
Lambeth,Lambeth,01/04/2014,Conversion
Bromley,Bromley,24/04/2014,New Build
Westminster,Westminster,26/11/2014,Conversion
Bromley,Bromley,01/05/2014,New Build
Croydon,Croydon,01/05/2014,Conversion
Enfield,Enfield,24/01/2014,Conversion
Bromley,Bromley,28/03/2014,New Build
Ealing,Ealing,30/01/2014,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/04/2014,Conversion
Lambeth,Lambeth,31/03/2014,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/07/2014,Conversion
Kingston,Kingston upon Thames,05/12/2014,Conversion
Croydon,Croydon,27/06/2014,New Build
Ealing,Ealing,15/09/2014,New Build
Lambeth,Lambeth,01/04/2014,Conversion
Enfield,Enfield,15/05/2014,Conversion
Sutton,Sutton,31/03/2014,Conversion
Lambeth,Lambeth,10/03/2014,Conversion
Bromley,Bromley,09/07/2014,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,03/04/2014,Conversion
Sutton,Sutton,31/03/2014,New Build
Westminster,Westminster,31/03/2014,New Build
Croydon,Croydon,01/10/2014,Conversion
Sutton,Sutton,21/08/2014,New Build
Sutton,Sutton,01/08/2014,New Build
Croydon,Croydon,29/12/2014,Conversion
Westminster,Westminster,01/05/2014,Conversion
Croydon,Croydon,24/09/2014,Conversion
Southwark,Southwark,02/05/2014,Conversion
Croydon,Croydon,31/03/2014,Conversion
Lambeth,Lambeth,17/01/2014,Conversion
Bromley,Bromley,01/10/2014,Conversion
Enfield,Enfield,10/03/2014,Conversion
Westminster,Westminster,31/01/2014,New Build
Newham,Newham,01/12/2014,Conversion
Barnet,Barnet,26/09/2014,New Build
Newham,Newham,17/12/2014,Conversion
Westminster,Westminster,31/03/2014,Conversion
Kingston,Kingston upon Thames,01/09/2014,New Build
Southwark,Southwark,04/06/2014,New Build
Newham,Newham,11/11/2014,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/12/2014,New Build
Bexley,Bexley,11/08/2014,Conversion
Richmond,Richmond upon Thames,01/02/2014,Conversion
Newham,Newham,01/07/2014,Conversion
Barnet,Barnet,16/09/2014,New Build
Westminster,Westminster,31/03/2014,Conversion
Southwark,Southwark,03/03/2014,New Build
Southwark,Southwark,04/03/2014,New Build
Croydon,Croydon,31/03/2014,New Build
Sutton,Sutton,31/03/2014,New Build
Richmond,Richmond upon Thames,31/07/2014,New Build
Southwark,Southwark,10/10/2014,Conversion
Enfield,Enfield,05/08/2014,New Build
Sutton,Sutton,17/09/2014,Conversion
Lambeth,Lambeth,20/06/2014,Conversion
Lambeth,Lambeth,01/01/2014,New Build
Newham,Newham,04/02/2014,Conversion
Croydon,Croydon,30/08/2014,New Build
Croydon,Croydon,29/12/2014,Conversion
Ealing,Ealing,05/02/2014,New Build
Westminster,Westminster,31/03/2014,New Build
Barnet,Barnet,12/06/2014,New Build
Enfield,Enfield,31/03/2014,New Build
Southwark,Southwark,31/12/2014,Conversion
Newham,Newham,04/03/2014,Conversion
Ealing,Ealing,04/06/2014,Conversion
Lambeth,Lambeth,13/10/2014,Conversion
Croydon,Croydon,02/01/2014,Conversion
Ealing,Ealing,18/06/2014,Conversion
Newham,Newham,31/03/2014,Conversion
Barnet,Barnet,01/12/2014,New Build
Barnet,Barnet,01/02/2014,Conversion
Ealing,Ealing,18/08/2014,Conversion
Bromley,Bromley,13/08/2014,New Build
Barnet,Barnet,31/01/2014,Conversion
Bromley,Bromley,04/03/2014,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,03/09/2014,Conversion
Croydon,Croydon,21/02/2014,New Build
Richmond,Richmond upon Thames,01/07/2014,New Build
Croydon,Croydon,12/09/2014,Conversion
Lambeth,Lambeth,01/05/2014,Conversion
Lambeth,Lambeth,06/05/2014,New Build
Croydon,Croydon,31/03/2014,New Build
Sutton,Sutton,01/06/2014,New Build
Newham,Newham,31/03/2014,Conversion
Ealing,Ealing,16/10/2014,New Build
Sutton,Sutton,11/11/2014,Conversion
Ealing,Ealing,15/07/2014,New Build
Southwark,Southwark,05/05/2014,Conversion
Croydon,Croydon,06/12/2014,New Build
Westminster,Westminster,28/08/2014,Conversion
Lambeth,Lambeth,01/07/2014,Conversion
Barnet,Barnet,01/07/2014,New Build
Bexley,Bexley,14/03/2014,New Build
Newham,Newham,15/01/2014,Conversion
Westminster,Westminster,31/03/2014,Conversion
Westminster,Westminster,31/03/2014,Conversion
Enfield,Enfield,31/07/2014,New Build
Westminster,Westminster,17/02/2014,Conversion
Lambeth,Lambeth,01/08/2014,Conversion
Kingston,Kingston upon Thames,01/09/2014,New Build
Westminster,Westminster,31/03/2014,New Build
Hammersmith & Fulham,Hammersmith and Fulham,10/12/2014,Conversion
Lambeth,Lambeth,14/07/2014,New Build
Brent,Brent,01/05/2014,New Build
Camden,Camden,11/06/2014,New Build
Wandsworth,Wandsworth,07/10/2014,Conversion
Havering,Havering,24/01/2014,New Build
Hackney,Hackney,06/06/2014,New Build
Camden,Camden,25/09/2014,Conversion
Hillingdon,Hillingdon,31/07/2014,New Build
Hackney,Hackney,15/07/2014,New Build
Merton,Merton,01/03/2014,New Build
Tower Hamlets,Tower Hamlets,19/03/2014,New Build
Tower Hamlets,Tower Hamlets,23/05/2014,New Build
Brent,Brent,12/11/2014,Conversion
Wandsworth,Wandsworth,12/06/2014,New Build
Lewisham,Lewisham,17/03/2014,Conversion
Camden,Camden,25/09/2014,Conversion
Havering,Havering,11/02/2014,New Build
LLDC,Newham,20/08/2014,New Build
Havering,Havering,11/02/2014,New Build
Hillingdon,Hillingdon,01/08/2014,Conversion
Havering,Havering,03/11/2014,New Build
Camden,Camden,14/04/2014,Conversion
Hillingdon,Hillingdon,01/09/2014,New Build
LLDC,Tower Hamlets,01/12/2014,New Build
Tower Hamlets,Tower Hamlets,12/03/2014,Conversion
Hillingdon,Hillingdon,15/07/2014,New Build
City of London,City of London,31/03/2014,New Build
Wandsworth,Wandsworth,28/08/2014,Conversion
City of London,City of London,30/09/2014,New Build
Havering,Havering,29/04/2014,New Build
Tower Hamlets,Tower Hamlets,11/04/2014,New Build
Wandsworth,Wandsworth,31/03/2014,New Build
Camden,Camden,27/09/2014,Conversion
Havering,Havering,12/06/2014,Conversion
Redbridge,Redbridge,20/08/2014,Conversion
Brent,Brent,12/02/2014,New Build
Brent,Brent,01/05/2014,Conversion
Havering,Havering,13/06/2014,New Build
Hillingdon,Hillingdon,20/08/2014,New Build
Tower Hamlets,Tower Hamlets,14/01/2014,New Build
Wandsworth,Wandsworth,01/03/2014,Conversion
Hackney,Hackney,01/02/2014,Conversion
Brent,Brent,02/01/2014,New Build
Tower Hamlets,Tower Hamlets,05/06/2014,New Build
Lewisham,Lewisham,13/06/2014,Conversion
Havering,Havering,28/10/2014,New Build
Hackney,Hackney,01/05/2014,New Build
Camden,Camden,13/02/2014,Conversion
Hillingdon,Hillingdon,16/12/2014,New Build
Hackney,Hackney,01/09/2014,New Build
Wandsworth,Wandsworth,31/03/2014,Conversion
Wandsworth,Wandsworth,31/03/2014,Conversion
Hackney,Hackney,30/12/2014,New Build
Hackney,Hackney,01/03/2014,Conversion
Hackney,Hackney,15/12/2014,New Build
