lpa_name,borough,actual_completion_date,development_type
Merton,Merton,26/03/2012,New Build
Merton,Merton,26/03/2012,New Build
Merton,Merton,20/01/2012,Conversion
Merton,Merton,29/03/2012,New Build
Merton,Merton,02/04/2012,New Build
Merton,Merton,26/03/2012,New Build
Merton,Merton,21/03/2012,New Build
Merton,Merton,02/04/2012,New Build
Merton,Merton,27/03/2012,New Build
Merton,Merton,26/03/2012,Conversion
Merton,Merton,22/11/2012,New Build
Merton,Merton,21/03/2012,New Build
Merton,Merton,29/03/2012,New Build
Merton,Merton,27/03/2012,Conversion
Merton,Merton,28/03/2012,New Build
Merton,Merton,07/06/2012,New Build
Merton,Merton,26/03/2012,New Build
Merton,Merton,20/03/2012,New Build
Merton,Merton,29/03/2012,New Build
Merton,Merton,27/03/2012,Conversion
Merton,Merton,14/12/2012,Conversion
Merton,Merton,26/03/2012,Conversion
Merton,Merton,21/03/2012,New Build
Merton,Merton,28/03/2012,New Build
Merton,Merton,20/03/2012,New Build
Merton,Merton,20/03/2012,New Build
Merton,Merton,22/03/2012,New Build
Merton,Merton,21/03/2012,New Build
Merton,Merton,26/03/2012,New Build
Merton,Merton,27/03/2012,New Build
Merton,Merton,22/03/2012,Conversion
Merton,Merton,28/03/2012,New Build
Merton,Merton,02/04/2012,Conversion
Merton,Merton,12/03/2012,Conversion
Merton,Merton,27/03/2012,Conversion
Merton,Merton,02/04/2012,New Build
Merton,Merton,28/03/2012,Conversion
Merton,Merton,03/07/2012,New Build
Merton,Merton,26/03/2012,Conversion
Merton,Merton,27/03/2012,New Build
Merton,Merton,21/03/2012,New Build
Merton,Merton,26/03/2012,Conversion
Merton,Merton,20/03/2012,New Build
Merton,Merton,20/03/2012,New Build
Merton,Merton,20/03/2012,Conversion
Tower Hamlets,Tower Hamlets,12/12/2012,New Build
Merton,Merton,28/03/2012,New Build
Merton,Merton,28/03/2012,New Build
Merton,Merton,20/07/2012,New Build
Merton,Merton,26/03/2012,New Build
Merton,Merton,20/03/2012,New Build
Merton,Merton,26/03/2012,New Build
Merton,Merton,02/04/2012,Conversion
Merton,Merton,26/03/2012,New Build
Merton,Merton,28/03/2012,Conversion
Hackney,Hackney,01/04/2012,Minor dwellings
Redbridge,Redbridge,17/12/2012,New Build
Ealing,Ealing,15/12/2012,Minor dwellings
Lewisham,Lewisham,04/12/2012,Conversion
Camden,Camden,03/12/2012,Conversion
Tower Hamlets,Tower Hamlets,20/08/2012,New Build
Croydon,Croydon,14/03/2012,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,30/04/2012,Conversion
Brent,Brent,30/03/2012,New Build
Lambeth,Lambeth,19/05/2012,Conversion
Richmond,Richmond upon Thames,01/07/2012,New Build
Croydon,Croydon,31/03/2012,New Build
Tower Hamlets,Tower Hamlets,23/07/2012,Conversion
Bexley,Bexley,01/06/2012,New Build
Southwark,Southwark,15/05/2012,New Build
Lambeth,Lambeth,01/10/2012,Conversion
Ealing,Ealing,29/10/2012,Conversion
Sutton,Sutton,17/12/2012,Conversion
Lambeth,Lambeth,01/10/2012,Conversion
Barnet,Barnet,04/07/2012,New Build
Barnet,Barnet,01/03/2012,Conversion
Newham,Newham,31/03/2012,New Build
Croydon,Croydon,19/01/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Richmond,Richmond upon Thames,30/03/2012,New Build
Sutton,Sutton,01/12/2012,Conversion
Southwark,Southwark,01/11/2012,New Build
Hammersmith & Fulham,Hammersmith and Fulham,26/07/2012,Conversion
Barnet,Barnet,16/07/2012,New Build
Westminster,Westminster,01/09/2012,Conversion
Bromley,Bromley,10/04/2012,New Build
Hammersmith & Fulham,Hammersmith and Fulham,30/11/2012,Conversion
Barnet,Barnet,28/02/2012,New Build
Enfield,Enfield,10/08/2012,Conversion
Westminster,Westminster,01/09/2012,New Build
Croydon,Croydon,30/11/2012,New Build
Newham,Newham,31/03/2012,Conversion
Richmond,Richmond upon Thames,13/08/2012,Conversion
Southwark,Southwark,01/06/2012,New Build
Kingston,Kingston upon Thames,12/04/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Lambeth,Lambeth,27/06/2012,Conversion
Westminster,Westminster,31/03/2012,New Build
Lambeth,Lambeth,28/11/2012,Conversion
Ealing,Ealing,18/08/2012,Conversion
Bromley,Bromley,12/05/2012,New Build
Lambeth,Lambeth,26/06/2012,New Build
Barnet,Barnet,15/07/2012,Conversion
Westminster,Westminster,30/08/2012,New Build
Southwark,Southwark,10/05/2012,New Build
Bromley,Bromley,20/11/2012,New Build
Bromley,Bromley,04/07/2012,Conversion
Ealing,Ealing,08/02/2012,New Build
Kingston,Kingston upon Thames,26/03/2012,New Build
Bexley,Bexley,23/01/2012,Conversion
Westminster,Westminster,31/03/2012,Conversion
Westminster,Westminster,31/03/2012,New Build
Westminster,Westminster,31/03/2012,Conversion
Sutton,Sutton,30/09/2012,New Build
Ealing,Ealing,01/10/2012,New Build
Sutton,Sutton,01/09/2012,New Build
Bromley,Bromley,03/04/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Sutton,Sutton,01/04/2012,Conversion
Newham,Newham,27/02/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Southwark,Southwark,01/04/2012,New Build
Barnet,Barnet,09/05/2012,New Build
Ealing,Ealing,10/08/2012,New Build
Westminster,Westminster,31/03/2012,Conversion
Croydon,Croydon,30/09/2012,New Build
Barnet,Barnet,11/04/2012,Conversion
Croydon,Croydon,04/04/2012,New Build
Lambeth,Lambeth,14/12/2012,Conversion
Enfield,Enfield,09/08/2012,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/01/2012,Conversion
Bromley,Bromley,25/04/2012,New Build
Bromley,Bromley,13/07/2012,New Build
Croydon,Croydon,31/03/2012,Conversion
Bromley,Bromley,25/04/2012,New Build
Croydon,Croydon,13/09/2012,Conversion
Ealing,Ealing,11/07/2012,Conversion
Newham,Newham,20/11/2012,Conversion
Croydon,Croydon,23/08/2012,Conversion
Lambeth,Lambeth,04/10/2012,Conversion
Bromley,Bromley,31/01/2012,New Build
Hammersmith & Fulham,Hammersmith and Fulham,12/01/2012,Conversion
Southwark,Southwark,14/09/2012,New Build
Southwark,Southwark,30/04/2012,New Build
Ealing,Ealing,03/09/2012,New Build
Ealing,Ealing,15/10/2012,Conversion
Croydon,Croydon,08/02/2012,New Build
Southwark,Southwark,24/09/2012,New Build
Ealing,Ealing,13/11/2012,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,11/12/2012,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,20/08/2012,New Build
Southwark,Southwark,14/05/2012,New Build
Barnet,Barnet,23/03/2012,New Build
Hammersmith & Fulham,Hammersmith and Fulham,12/07/2012,Conversion
Newham,Newham,18/07/2012,Conversion
Croydon,Croydon,30/09/2012,New Build
Enfield,Enfield,15/03/2012,New Build
Westminster,Westminster,31/03/2012,Conversion
Lambeth,Lambeth,01/04/2012,New Build
Barnet,Barnet,08/09/2012,Conversion
Barnet,Barnet,09/07/2012,New Build
Newham,Newham,29/02/2012,Conversion
Ealing,Ealing,15/03/2012,Conversion
Enfield,Enfield,19/11/2012,New Build
Sutton,Sutton,01/04/2012,New Build
Kingston,Kingston upon Thames,06/02/2012,New Build
Westminster,Westminster,01/11/2012,Conversion
Barnet,Barnet,18/03/2012,New Build
Westminster,Westminster,16/07/2012,Conversion
Richmond,Richmond upon Thames,02/05/2012,Conversion
Sutton,Sutton,31/03/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Newham,Newham,02/08/2012,Conversion
Enfield,Enfield,03/08/2012,Conversion
Newham,Newham,31/03/2012,New Build
Newham,Newham,09/10/2012,Conversion
Richmond,Richmond upon Thames,15/07/2012,New Build
Richmond,Richmond upon Thames,30/01/2012,New Build
Bromley,Bromley,15/06/2012,Conversion
Bromley,Bromley,20/02/2012,New Build
Ealing,Ealing,01/04/2012,New Build
Bromley,Bromley,02/04/2012,New Build
Enfield,Enfield,31/05/2012,Conversion
Bromley,Bromley,05/05/2012,New Build
Barnet,Barnet,11/09/2012,New Build
Newham,Newham,31/03/2012,Conversion
Barnet,Barnet,04/05/2012,Conversion
Newham,Newham,20/11/2012,Conversion
Ealing,Ealing,11/10/2012,New Build
Lambeth,Lambeth,18/02/2012,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,30/04/2012,Conversion
Enfield,Enfield,11/10/2012,Conversion
Ealing,Ealing,01/08/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Westminster,Westminster,31/03/2012,Conversion
Enfield,Enfield,09/02/2012,New Build
Barnet,Barnet,28/09/2012,New Build
Croydon,Croydon,30/06/2012,New Build
Bromley,Bromley,01/04/2012,Conversion
Newham,Newham,01/01/2012,New Build
Richmond,Richmond upon Thames,17/02/2012,New Build
Croydon,Croydon,08/10/2012,Conversion
Westminster,Westminster,01/05/2012,New Build
Barnet,Barnet,12/01/2012,New Build
Barnet,Barnet,01/01/2012,New Build
Richmond,Richmond upon Thames,01/06/2012,New Build
Ealing,Ealing,04/09/2012,New Build
Westminster,Westminster,31/03/2012,New Build
Barnet,Barnet,15/08/2012,New Build
Richmond,Richmond upon Thames,30/06/2012,New Build
Westminster,Westminster,31/03/2012,Conversion
Westminster,Westminster,31/08/2012,New Build
Ealing,Ealing,06/07/2012,New Build
Enfield,Enfield,14/11/2012,Conversion
Bromley,Bromley,02/11/2012,Conversion
Southwark,Southwark,29/10/2012,Conversion
Bromley,Bromley,12/11/2012,New Build
Barnet,Barnet,15/07/2012,New Build
Westminster,Westminster,14/09/2012,Conversion
Southwark,Southwark,31/01/2012,New Build
Bromley,Bromley,14/09/2012,Conversion
Ealing,Ealing,15/03/2012,New Build
Newham,Newham,04/09/2012,New Build
Hammersmith & Fulham,Hammersmith and Fulham,21/09/2012,Conversion
Newham,Newham,07/06/2012,Conversion
Ealing,Ealing,01/06/2012,New Build
Westminster,Westminster,31/03/2012,Conversion
Westminster,Westminster,31/03/2012,Conversion
Newham,Newham,12/07/2012,Conversion
Westminster,Westminster,19/07/2012,New Build
Kingston,Kingston upon Thames,01/01/2012,New Build
Newham,Newham,27/02/2012,New Build
Lambeth,Lambeth,28/11/2012,Conversion
Sutton,Sutton,01/09/2012,New Build
Westminster,Westminster,01/10/2012,Conversion
Croydon,Croydon,31/03/2012,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,28/08/2012,Conversion
Southwark,Southwark,02/03/2012,New Build
Kingston,Kingston upon Thames,25/09/2012,Conversion
Sutton,Sutton,31/01/2012,New Build
Newham,Newham,25/01/2012,New Build
Richmond,Richmond upon Thames,31/03/2012,New Build
Croydon,Croydon,31/03/2012,New Build
Bromley,Bromley,18/10/2012,Conversion
Barnet,Barnet,26/11/2012,New Build
Barnet,Barnet,26/10/2012,New Build
Southwark,Southwark,06/06/2012,New Build
Southwark,Southwark,25/09/2012,Conversion
Enfield,Enfield,29/02/2012,New Build
Newham,Newham,31/03/2012,New Build
Bexley,Bexley,21/12/2012,Conversion
Kingston,Kingston upon Thames,13/07/2012,New Build
Bromley,Bromley,21/06/2012,New Build
Croydon,Croydon,31/03/2012,New Build
Ealing,Ealing,01/09/2012,New Build
