lpa_name,borough,actual_completion_date,development_type
Greenwich,Greenwich,21/02/2020,New Build
Merton,Merton,05/08/2020,New Build
Merton,Merton,31/03/2020,Conversion
Merton,Merton,31/03/2020,New Build
Merton,Merton,01/07/2020,New Build
Merton,Merton,28/10/2020,New Build
Merton,Merton,01/05/2020,New Build
Merton,Merton,08/04/2020,Conversion
Merton,Merton,01/01/2020,New Build
Merton,Merton,01/04/2020,Conversion
Merton,Merton,01/01/2020,New Build
Merton,Merton,11/07/2020,New Build
Merton,Merton,31/03/2020,New Build
Merton,Merton,01/05/2020,Minor dwellings
Merton,Merton,31/03/2020,New Build
Merton,Merton,01/10/2020,New Build
Merton,Merton,31/03/2020,Conversion
Merton,Merton,01/04/2020,New Build
Merton,Merton,01/03/2020,Conversion
Merton,Merton,15/07/2020,Conversion
Merton,Merton,01/04/2020,Conversion
Merton,Merton,12/07/2020,New Build
Merton,Merton,31/03/2020,New Build
Merton,Merton,20/11/2020,New Build
Merton,Merton,01/06/2020,New Build
Merton,Merton,01/08/2020,Conversion
Merton,Merton,01/07/2020,Conversion
Merton,Merton,01/06/2020,New Build
Merton,Merton,01/10/2020,New Build
Merton,Merton,01/10/2020,New Build
Merton,Merton,15/02/2020,Conversion
Merton,Merton,01/03/2020,Conversion
Merton,Merton,28/09/2020,New Build
Merton,Merton,17/06/2020,New Build
Merton,Merton,01/04/2020,New Build
Merton,Merton,01/01/2020,New Build
Merton,Merton,01/04/2020,Conversion
Merton,Merton,01/12/2020,New Build
Merton,Merton,01/06/2020,New Build
Merton,Merton,09/03/2020,Conversion
Merton,Merton,15/11/2020,New Build
Merton,Merton,01/09/2020,Minor dwellings
Merton,Merton,01/01/2020,New Build
Merton,Merton,13/05/2020,Conversion
Merton,Merton,22/12/2020,New Build
Merton,Merton,01/02/2020,New Build
Merton,Merton,01/05/2020,Conversion
Merton,Merton,01/10/2020,New Build
Merton,Merton,01/10/2020,New Build
Merton,Merton,31/03/2020,Conversion
Merton,Merton,01/05/2020,New Build
Merton,Merton,01/01/2020,New Build
Merton,Merton,01/04/2020,Conversion
Merton,Merton,03/01/2020,Conversion
Merton,Merton,01/07/2020,Conversion
Merton,Merton,10/02/2020,Conversion
Merton,Merton,01/02/2020,Conversion
Merton,Merton,05/12/2020,Conversion
Southwark,Southwark,30/09/2020,New Build
Hackney,Hackney,01/02/2020,Conversion
Wandsworth,Wandsworth,19/10/2020,Conversion
Kingston,Kingston,07/12/2020,New Build
Wandsworth,Wandsworth,18/09/2020,Conversion
Hillingdon,Hillingdon,11/03/2020,Conversion
Havering,Havering,31/01/2020,New Build
Tower Hamlets,Tower Hamlets,28/10/2020,New Build
Tower Hamlets,Tower Hamlets,27/07/2020,New Build
Tower Hamlets,Tower Hamlets,08/10/2020,New Build
Tower Hamlets,Tower Hamlets,19/08/2020,New Build
Tower Hamlets,Tower Hamlets,09/03/2020,New Build
Tower Hamlets,Tower Hamlets,03/10/2020,New Build
Tower Hamlets,Tower Hamlets,18/12/2020,New Build
Barnet,Barnet,17/01/2020,New Build
Bexley,Bexley,08/09/2020,New Build
Havering,Havering,07/02/2020,Conversion
Bexley,Bexley,28/08/2020,New Build
Barnet,Barnet,12/02/2020,Conversion
Tower Hamlets,Tower Hamlets,16/09/2020,New Build
Bexley,Bexley,23/03/2020,New Build
Westminster,Westminster,28/03/2020,New Build
Bexley,Bexley,13/05/2020,New Build
Bexley,Bexley,28/09/2020,New Build
Bexley,Bexley,09/04/2020,New Build
Hammersmith & Fulham,Hammersmith and Fulham,31/01/2020,Conversion
Bexley,Bexley,18/02/2020,New Build
Westminster,Westminster,21/02/2020,New Build
Barnet,Barnet,01/02/2020,Conversion
Tower Hamlets,Tower Hamlets,10/12/2020,New Build
Tower Hamlets,Tower Hamlets,14/08/2020,Conversion
Tower Hamlets,Tower Hamlets,08/10/2020,New Build
