lpa_name,borough,actual_completion_date,development_type
Bromley,Bromley,04/04/2011,New Build
Bromley,Bromley,06/09/2011,New Build
Bromley,Bromley,22/03/2011,New Build
Bromley,Bromley,22/03/2011,New Build
Bromley,Bromley,30/03/2011,New Build
Bromley,Bromley,18/01/2011,New Build
Bromley,Bromley,01/04/2011,New Build
Bromley,Bromley,18/03/2011,New Build
Newham,Newham,14/02/2011,New Build
Sutton,Sutton,27/05/2011,New Build
Westminster,Westminster,31/03/2011,Conversion
Newham,Newham,18/04/2011,New Build
Croydon,Croydon,22/12/2011,New Build
Hammersmith & Fulham,Hammersmith and Fulham,28/02/2011,Conversion
Kingston,Kingston upon Thames,03/02/2011,New Build
Enfield,Enfield,23/11/2011,New Build
Richmond,Richmond upon Thames,31/05/2011,New Build
Croydon,Croydon,30/06/2011,New Build
Newham,Newham,01/11/2011,Conversion
Ealing,Ealing,09/12/2011,Conversion
Kingston,Kingston upon Thames,17/08/2011,New Build
Newham,Newham,18/11/2011,Conversion
Enfield,Enfield,06/04/2011,Conversion
Bromley,Bromley,16/06/2011,New Build
Enfield,Enfield,12/12/2011,Conversion
Bromley,Bromley,08/02/2011,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/12/2011,Conversion
Lambeth,Lambeth,04/01/2011,New Build
Newham,Newham,12/01/2011,Conversion
Southwark,Southwark,03/08/2011,Conversion
Westminster,Westminster,14/10/2011,New Build
Barnet,Barnet,05/09/2011,New Build
Croydon,Croydon,30/06/2011,New Build
Richmond,Richmond upon Thames,31/07/2011,New Build
Bromley,Bromley,06/04/2011,New Build
Richmond,Richmond upon Thames,30/06/2011,New Build
Hammersmith & Fulham,Hammersmith and Fulham,22/07/2011,Conversion
Ealing,Ealing,11/11/2011,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2011,Conversion
Croydon,Croydon,31/03/2011,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/06/2011,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2011,Conversion
Barnet,Barnet,08/07/2011,Conversion
Southwark,Southwark,28/02/2011,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2011,Conversion
Southwark,Southwark,15/03/2011,Conversion
Enfield,Enfield,15/07/2011,New Build
Croydon,Croydon,27/05/2011,New Build
Southwark,Southwark,31/03/2011,New Build
Bromley,Bromley,18/07/2011,New Build
Croydon,Croydon,09/11/2011,Conversion
Southwark,Southwark,01/02/2011,New Build
Southwark,Southwark,24/09/2011,Conversion
Ealing,Ealing,12/06/2011,New Build
Southwark,Southwark,31/03/2011,New Build
Bromley,Bromley,07/04/2011,New Build
Bromley,Bromley,09/05/2011,New Build
Westminster,Westminster,31/03/2011,Conversion
Bexley,Bexley,14/09/2011,New Build
Richmond,Richmond upon Thames,31/07/2011,New Build
Barnet,Barnet,14/02/2011,New Build
Barnet,Barnet,21/03/2011,Conversion
Southwark,Southwark,31/03/2011,Conversion
Barnet,Barnet,01/10/2011,Conversion
Croydon,Croydon,18/04/2011,New Build
Bexley,Bexley,14/06/2011,New Build
Ealing,Ealing,01/01/2011,New Build
Enfield,Enfield,23/03/2011,Conversion
Ealing,Ealing,27/09/2011,Conversion
Croydon,Croydon,13/05/2011,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2011,Conversion
Kingston,Kingston upon Thames,15/12/2011,New Build
Ealing,Ealing,20/01/2011,New Build
Westminster,Westminster,31/03/2011,Conversion
Sutton,Sutton,01/07/2011,New Build
Enfield,Enfield,28/02/2011,New Build
Bromley,Bromley,22/03/2011,New Build
Westminster,Westminster,01/02/2011,Conversion
Bromley,Bromley,05/05/2011,New Build
Westminster,Westminster,28/03/2011,Conversion
Ealing,Ealing,26/05/2011,Conversion
Barnet,Barnet,01/12/2011,Conversion
Barnet,Barnet,15/07/2011,New Build
Barnet,Barnet,13/07/2011,Conversion
Ealing,Ealing,25/11/2011,New Build
Lambeth,Lambeth,01/05/2011,Conversion
Bromley,Bromley,06/04/2011,New Build
Lambeth,Lambeth,08/09/2011,Conversion
Bromley,Bromley,10/04/2011,New Build
Croydon,Croydon,27/04/2011,New Build
Kingston,Kingston upon Thames,02/03/2011,Conversion
Ealing,Ealing,09/10/2011,Conversion
Lambeth,Lambeth,27/09/2011,Conversion
Richmond,Richmond upon Thames,30/06/2011,Conversion
