lpa_name,borough,actual_completion_date,development_type
Lewisham,Lewisham,10/03/2013,New Build
Richmond,Richmond upon Thames,13/12/2013,Conversion
Richmond,Richmond upon Thames,15/05/2013,New Build
Bromley,Bromley,15/04/2013,New Build
Bromley,Bromley,16/04/2013,New Build
Bromley,Bromley,23/02/2013,New Build
Bromley,Bromley,13/04/2013,New Build
Croydon,Croydon,07/07/2013,Conversion
Croydon,Croydon,01/06/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/11/2013,Conversion
Barnet,Barnet,02/07/2013,Conversion
Southwark,Southwark,01/09/2013,New Build
Enfield,Enfield,14/10/2013,New Build
Kingston,Kingston upon Thames,01/02/2013,New Build
Croydon,Croydon,01/06/2013,Conversion
Southwark,Southwark,01/08/2013,Conversion
Southwark,Southwark,21/01/2013,New Build
Westminster,Westminster,21/04/2013,New Build
Enfield,Enfield,05/07/2013,Conversion
Croydon,Croydon,01/06/2013,Conversion
Croydon,Croydon,20/02/2013,Conversion
Barnet,Barnet,15/08/2013,New Build
Kingston,Kingston upon Thames,19/06/2013,New Build
Ealing,Ealing,04/06/2013,New Build
Barnet,Barnet,31/03/2013,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/01/2013,New Build
Sutton,Sutton,01/04/2013,Conversion
Barnet,Barnet,15/10/2013,Conversion
Westminster,Westminster,31/03/2013,Conversion
Westminster,Westminster,31/03/2013,New Build
Bexley,Bexley,16/08/2013,New Build
Southwark,Southwark,01/02/2013,New Build
Ealing,Ealing,22/02/2013,Conversion
Richmond,Richmond upon Thames,21/10/2013,New Build
Kingston,Kingston upon Thames,09/08/2013,New Build
Westminster,Westminster,31/03/2013,New Build
Bexley,Bexley,17/09/2013,New Build
Croydon,Croydon,23/09/2013,Conversion
Richmond,Richmond upon Thames,30/06/2013,New Build
Bexley,Bexley,19/07/2013,New Build
Lambeth,Lambeth,01/07/2013,Conversion
Bromley,Bromley,17/10/2013,New Build
Richmond,Richmond upon Thames,01/07/2013,New Build
Croydon,Croydon,30/01/2013,New Build
Westminster,Westminster,02/08/2013,Conversion
Westminster,Westminster,01/01/2013,New Build
Richmond,Richmond upon Thames,01/05/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/11/2013,Conversion
Southwark,Southwark,31/03/2013,New Build
Southwark,Southwark,01/05/2013,New Build
Ealing,Ealing,01/04/2013,Conversion
Barnet,Barnet,29/11/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/04/2013,New Build
Southwark,Southwark,09/09/2013,New Build
Westminster,Westminster,01/12/2013,Conversion
Bromley,Bromley,28/06/2013,New Build
Croydon,Croydon,30/09/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/10/2013,New Build
Croydon,Croydon,30/09/2013,New Build
Enfield,Enfield,31/03/2013,New Build
Ealing,Ealing,04/06/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,25/07/2013,New Build
Lambeth,Lambeth,01/07/2013,Conversion
Richmond,Richmond upon Thames,23/01/2013,New Build
Newham,Newham,01/03/2013,Conversion
Richmond,Richmond upon Thames,01/09/2013,Conversion
Sutton,Sutton,30/11/2013,New Build
Newham,Newham,11/11/2013,New Build
Southwark,Southwark,01/08/2013,New Build
Ealing,Ealing,03/06/2013,New Build
Bromley,Bromley,22/07/2013,Conversion
Sutton,Sutton,01/04/2013,New Build
Newham,Newham,06/09/2013,Conversion
Ealing,Ealing,26/07/2013,New Build
Croydon,Croydon,31/12/2013,Conversion
Croydon,Croydon,01/06/2013,Conversion
Southwark,Southwark,14/10/2013,New Build
Enfield,Enfield,14/05/2013,New Build
Bromley,Bromley,01/03/2013,New Build
Croydon,Croydon,08/05/2013,New Build
Enfield,Enfield,05/04/2013,New Build
Croydon,Croydon,30/09/2013,New Build
Sutton,Sutton,01/04/2013,New Build
Croydon,Croydon,05/09/2013,Conversion
Enfield,Enfield,28/03/2013,New Build
Croydon,Croydon,30/09/2013,New Build
Lambeth,Lambeth,01/08/2013,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,19/11/2013,Conversion
Enfield,Enfield,08/04/2013,New Build
Richmond,Richmond upon Thames,23/01/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,11/03/2013,New Build
Westminster,Westminster,31/12/2013,New Build
Barnet,Barnet,17/10/2013,Conversion
Newham,Newham,18/07/2013,Conversion
Bromley,Bromley,05/06/2013,New Build
Bexley,Bexley,28/03/2013,New Build
Bromley,Bromley,10/01/2013,Conversion
Barnet,Barnet,02/04/2013,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/10/2013,Conversion
Ealing,Ealing,08/08/2013,Conversion
Richmond,Richmond upon Thames,01/10/2013,Conversion
Bromley,Bromley,13/12/2013,New Build
Barnet,Barnet,25/09/2013,New Build
Westminster,Westminster,07/04/2013,New Build
Southwark,Southwark,15/02/2013,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,11/03/2013,Conversion
Westminster,Westminster,31/03/2013,New Build
Ealing,Ealing,13/06/2013,New Build
Westminster,Westminster,31/03/2013,New Build
Enfield,Enfield,15/01/2013,Conversion
Bromley,Bromley,03/07/2013,Conversion
Barnet,Barnet,15/02/2013,New Build
Sutton,Sutton,01/04/2013,New Build
Richmond,Richmond upon Thames,01/05/2013,Conversion
Richmond,Richmond upon Thames,30/06/2013,New Build
Lambeth,Lambeth,27/02/2013,Conversion
Lambeth,Lambeth,24/01/2013,New Build
Ealing,Ealing,12/08/2013,New Build
Hammersmith & Fulham,Hammersmith and Fulham,15/10/2013,Conversion
Ealing,Ealing,30/05/2013,New Build
Richmond,Richmond upon Thames,30/12/2013,New Build
Barnet,Barnet,17/04/2013,New Build
