lpa_name,borough,actual_completion_date,development_type
Greenwich,Greenwich,17/12/2018,New Build
Merton,Merton,25/05/2018,Conversion
Merton,Merton,04/06/2018,Conversion
Merton,Merton,11/08/2018,New Build
Merton,Merton,15/06/2018,Major all other major developments
Merton,Merton,03/08/2018,New Build
Merton,Merton,11/08/2018,Conversion
Merton,Merton,01/07/2018,New Build
Merton,Merton,10/08/2018,Conversion
Merton,Merton,01/05/2018,New Build
Merton,Merton,01/05/2018,Conversion
Merton,Merton,13/11/2018,Conversion
Merton,Merton,08/10/2018,New Build
Merton,Merton,01/04/2018,Conversion
Merton,Merton,01/11/2018,New Build
Merton,Merton,01/07/2018,Conversion
Merton,Merton,12/06/2018,New Build
Merton,Merton,01/06/2018,Conversion
Merton,Merton,05/06/2018,Conversion
Merton,Merton,13/07/2018,Conversion
Merton,Merton,20/09/2018,Conversion
Merton,Merton,11/09/2018,Conversion
Merton,Merton,09/10/2018,Conversion
Merton,Merton,01/12/2018,New Build
Merton,Merton,18/06/2018,Conversion
Merton,Merton,26/12/2018,New Build
Merton,Merton,04/06/2018,Conversion
Merton,Merton,24/12/2018,New Build
Merton,Merton,13/11/2018,New Build
Merton,Merton,28/09/2018,New Build
Merton,Merton,24/10/2018,Conversion
Merton,Merton,26/06/2018,Conversion
Merton,Merton,26/10/2018,New Build
Merton,Merton,07/08/2018,New Build
Croydon,Croydon,21/12/2018,Conversion
Tower Hamlets,Tower Hamlets,16/01/2018,New Build
Westminster,Westminster,31/03/2018,Conversion
Westminster,Westminster,31/03/2018,Conversion
Tower Hamlets,Tower Hamlets,20/11/2018,New Build
Westminster,Westminster,21/06/2018,Conversion
Wandsworth,Wandsworth,01/04/2018,Conversion
Hackney,Hackney,24/06/2018,New Build
Hackney,Hackney,08/01/2018,Conversion
Hackney,Hackney,24/06/2018,Conversion
Redbridge,Redbridge,06/11/2018,New Build
Redbridge,Redbridge,01/08/2018,New Build
Redbridge,Redbridge,15/02/2018,New Build
Tower Hamlets,Tower Hamlets,25/09/2018,New Build
Tower Hamlets,Tower Hamlets,22/03/2018,New Build
Wandsworth,Wandsworth,31/03/2018,New Build
Enfield,Enfield,01/12/2018,New Build
Croydon,Croydon,31/03/2018,Conversion
Brent,Brent,30/05/2018,Conversion
Enfield,Enfield,01/03/2018,New Build
Brent,Brent,26/02/2018,Conversion
Tower Hamlets,Tower Hamlets,12/11/2018,New Build
Brent,Brent,27/06/2018,New Build
Wandsworth,Wandsworth,31/03/2018,Conversion
Redbridge,Redbridge,10/02/2018,Conversion
Hackney,Hackney,01/05/2018,New Build
Westminster,Westminster,01/12/2018,New Build
Enfield,Enfield,22/08/2018,New Build
Enfield,Enfield,30/03/2018,Conversion
Enfield,Enfield,01/03/2018,Conversion
Enfield,Enfield,01/03/2018,New Build
Lewisham,Lewisham,15/03/2018,New Build
Enfield,Enfield,01/03/2018,New Build
Brent,Brent,22/06/2018,Conversion
Enfield,Enfield,19/07/2018,Conversion
Brent,Brent,18/07/2018,New Build
Enfield,Enfield,31/03/2018,New Build
Enfield,Enfield,02/08/2018,New Build
Brent,Brent,07/06/2018,New Build
Enfield,Enfield,01/05/2018,New Build
Redbridge,Redbridge,19/05/2018,New Build
Enfield,Enfield,21/08/2018,New Build
Wandsworth,Wandsworth,31/03/2018,Conversion
Enfield,Enfield,25/07/2018,New Build
Lambeth,Lambeth,05/10/2018,New Build
Lewisham,Lewisham,15/02/2018,New Build
Enfield,Enfield,01/03/2018,New Build
Redbridge,Redbridge,21/12/2018,Conversion
Brent,Brent,06/04/2018,New Build
Croydon,Croydon,29/06/2018,New Build
Ealing,Ealing,10/04/2018,Minor dwellings
Hackney,Hackney,01/04/2018,Conversion
Wandsworth,Wandsworth,19/09/2018,New Build
Brent,Brent,26/10/2018,Conversion
Brent,Brent,01/12/2018,New Build
Enfield,Enfield,01/03/2018,Conversion
Wandsworth,Wandsworth,31/03/2018,New Build
Brent,Brent,20/06/2018,New Build
Lewisham,Lewisham,01/04/2018,New Build
Hillingdon,Hillingdon,18/05/2018,New Build
Wandsworth,Wandsworth,31/03/2018,Conversion
Wandsworth,Wandsworth,20/12/2018,New Build
Wandsworth,Wandsworth,31/03/2018,New Build
Ealing,Ealing,13/03/2018,Minor dwellings
Ealing,Ealing,02/03/2018,Minor dwellings
Barnet,Barnet,20/02/2018,New Build
Barnet,Barnet,01/05/2018,New Build
Barnet,Barnet,01/10/2018,New Build
Barnet,Barnet,01/01/2018,New Build
Barnet,Barnet,25/06/2018,New Build
Barnet,Barnet,01/01/2018,New Build
Barnet,Barnet,01/06/2018,New Build
Barnet,Barnet,17/05/2018,New Build
Hillingdon,Hillingdon,31/03/2018,New Build
Hammersmith & Fulham,Hammersmith and Fulham,01/04/2018,New Build
Tower Hamlets,Tower Hamlets,11/04/2018,New Build
Newham,Newham,31/03/2018,New Build
Tower Hamlets,Tower Hamlets,27/03/2018,New Build
Newham,Newham,31/03/2018,New Build
Hammersmith & Fulham,Hammersmith and Fulham,23/01/2018,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,11/12/2018,Conversion
Richmond,Richmond upon Thames,01/04/2018,Conversion
Newham,Newham,31/03/2018,New Build
Bromley,Bromley,30/11/2018,New Build
Newham,Newham,31/03/2018,New Build
Ealing,Ealing,02/08/2018,New Build
Sutton,Sutton,01/04/2018,Conversion
Barnet,Barnet,15/02/2018,Conversion
Lambeth,Lambeth,14/03/2018,Conversion
Croydon,Croydon,03/08/2018,New Build
Barnet,Barnet,01/05/2018,New Build
Hammersmith & Fulham,Hammersmith and Fulham,06/03/2018,Conversion
Ealing,Ealing,15/08/2018,Conversion
Lambeth,Lambeth,10/07/2018,Conversion
Croydon,Croydon,31/03/2018,New Build
Barnet,Barnet,08/03/2018,New Build
Westminster,Westminster,29/03/2018,New Build
Croydon,Croydon,11/05/2018,Conversion
Sutton,Sutton,01/06/2018,New Build
Croydon,Croydon,25/10/2018,Conversion
Lambeth,Lambeth,20/11/2018,Conversion
Lambeth,Lambeth,10/05/2018,Conversion
Croydon,Croydon,01/01/2018,New Build
Westminster,Westminster,17/10/2018,New Build
Ealing,Ealing,23/08/2018,New Build
Bromley,Bromley,19/12/2018,New Build
Croydon,Croydon,16/03/2018,Conversion
Croydon,Croydon,18/10/2018,New Build
Barnet,Barnet,20/04/2018,Conversion
Ealing,Ealing,01/04/2018,Conversion
Barnet,Barnet,01/05/2018,New Build
Barnet,Barnet,20/12/2018,Conversion
Westminster,Westminster,19/04/2018,Conversion
Bexley,Bexley,26/11/2018,New Build
Bromley,Bromley,20/07/2018,New Build
Lambeth,Lambeth,20/04/2018,New Build
Barnet,Barnet,23/08/2018,New Build
Barnet,Barnet,12/03/2018,Conversion
Enfield,Enfield,20/07/2018,Conversion
Croydon,Croydon,02/08/2018,Conversion
Westminster,Westminster,01/06/2018,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,21/02/2018,Conversion
Southwark,Southwark,01/08/2018,New Build
Barnet,Barnet,12/12/2018,Conversion
