lpa_name,borough,actual_completion_date,development_type
Newham,Newham,03/06/2016,Conversion
Newham,Newham,31/03/2016,New Build
Newham,Newham,31/03/2016,New Build
Merton,Merton,01/03/2016,New Build
Merton,Merton,30/09/2016,New Build
Merton,Merton,01/03/2016,New Build
Merton,Merton,17/02/2016,New Build
Merton,Merton,19/09/2016,New Build
Merton,Merton,29/01/2016,New Build
Tower Hamlets,Tower Hamlets,26/05/2016,Conversion
Tower Hamlets,Tower Hamlets,22/06/2016,New Build
Redbridge,Redbridge,17/08/2016,New Build
Redbridge,Redbridge,01/11/2016,Conversion
Enfield,Enfield,22/06/2016,New Build
Westminster,Westminster,31/03/2016,New Build
Lewisham,Lewisham,01/05/2016,New Build
Wandsworth,Wandsworth,03/05/2016,New Build
Lewisham,Lewisham,27/07/2016,New Build
Newham,Newham,31/03/2016,New Build
Camden,Camden,18/07/2016,Conversion
Enfield,Enfield,31/05/2016,Conversion
Wandsworth,Wandsworth,13/10/2016,New Build
Tower Hamlets,Tower Hamlets,10/03/2016,New Build
Enfield,Enfield,31/01/2016,Conversion
Wandsworth,Wandsworth,31/03/2016,Conversion
Lewisham,Lewisham,29/05/2016,New Build
Wandsworth,Wandsworth,31/03/2016,New Build
Lewisham,Lewisham,14/06/2016,New Build
Enfield,Enfield,16/11/2016,Conversion
Wandsworth,Wandsworth,30/06/2016,Conversion
Lewisham,Lewisham,01/06/2016,New Build
Lambeth,Lambeth,01/07/2016,New Build
Wandsworth,Wandsworth,13/10/2016,New Build
Lambeth,Lambeth,01/04/2016,Conversion
Wandsworth,Wandsworth,31/03/2016,Conversion
Lambeth,Lambeth,22/08/2016,New Build
Brent,Brent,15/12/2016,Conversion
Lewisham,Lewisham,31/03/2016,New Build
Lewisham,Lewisham,01/02/2016,New Build
Newham,Newham,31/03/2016,New Build
Lewisham,Lewisham,06/06/2016,New Build
Wandsworth,Wandsworth,16/09/2016,New Build
Southwark,Southwark,03/03/2016,Conversion
Enfield,Enfield,30/09/2016,New Build
Wandsworth,Wandsworth,27/10/2016,New Build
Wandsworth,Wandsworth,26/02/2016,Conversion
Lambeth,Lambeth,09/03/2016,New Build
Wandsworth,Wandsworth,20/07/2016,Conversion
Lambeth,Lambeth,12/06/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,08/09/2016,New Build
Wandsworth,Wandsworth,31/03/2016,Conversion
Wandsworth,Wandsworth,24/02/2016,New Build
Hillingdon,Hillingdon,18/05/2016,Conversion
Westminster,Westminster,05/09/2016,Conversion
Wandsworth,Wandsworth,22/03/2016,New Build
Wandsworth,Wandsworth,31/03/2016,Conversion
Lambeth,Lambeth,01/06/2016,New Build
Lewisham,Lewisham,15/09/2016,Conversion
Wandsworth,Wandsworth,31/10/2016,Conversion
Wandsworth,Wandsworth,27/01/2016,New Build
Tower Hamlets,Tower Hamlets,09/11/2016,New Build
Wandsworth,Wandsworth,19/02/2016,New Build
Redbridge,Redbridge,30/06/2016,New Build
Wandsworth,Wandsworth,19/12/2016,New Build
Westminster,Westminster,04/01/2016,New Build
Ealing,Ealing,16/10/2016,Conversion
Brent,Brent,09/09/2016,New Build
Richmond,Richmond upon Thames,31/07/2016,New Build
Wandsworth,Wandsworth,17/06/2016,New Build
Wandsworth,Wandsworth,31/03/2016,New Build
Lewisham,Lewisham,30/04/2016,New Build
Redbridge,Redbridge,19/02/2016,New Build
Enfield,Enfield,09/09/2016,New Build
Wandsworth,Wandsworth,12/12/2016,Conversion
Hillingdon,Hillingdon,05/02/2016,New Build
Lambeth,Lambeth,16/02/2016,New Build
Brent,Brent,05/07/2016,New Build
Ealing,Ealing,31/10/2016,Minor dwellings
Ealing,Ealing,08/10/2016,Minor dwellings
Ealing,Ealing,10/10/2016,Minor dwellings
Ealing,Ealing,17/07/2016,Minor dwellings
Newham,Newham,31/03/2016,New Build
Newham,Newham,31/03/2016,New Build
Newham,Newham,03/06/2016,Conversion
Ealing,Ealing,22/08/2016,Minor dwellings
Ealing,Ealing,15/02/2016,Minor dwellings
Sutton,Sutton,31/03/2016,New Build
Croydon,Croydon,14/01/2016,New Build
Croydon,Croydon,12/09/2016,New Build
Hackney,Hackney,15/12/2016,Conversion
Westminster,Westminster,11/03/2016,Conversion
Ealing,Ealing,21/01/2016,Conversion
Lambeth,Lambeth,23/08/2016,Conversion
Ealing,Ealing,01/07/2016,New Build
Westminster,Westminster,25/11/2016,Conversion
Sutton,Sutton,01/04/2016,New Build
Lambeth,Lambeth,01/12/2016,Conversion
Southwark,Southwark,08/03/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,01/07/2016,New Build
Richmond,Richmond upon Thames,01/11/2016,Conversion
Westminster,Westminster,28/09/2016,Conversion
Croydon,Croydon,23/09/2016,New Build
Croydon,Croydon,23/08/2016,New Build
Southwark,Southwark,03/03/2016,Conversion
Barnet,Barnet,01/11/2016,Conversion
Southwark,Southwark,03/03/2016,New Build
Westminster,Westminster,31/03/2016,Conversion
Croydon,Croydon,31/03/2016,New Build
Newham,Newham,05/02/2016,Conversion
Bromley,Bromley,31/03/2016,New Build
Croydon,Croydon,09/08/2016,New Build
Westminster,Westminster,31/03/2016,Conversion
Sutton,Sutton,01/07/2016,New Build
Bromley,Bromley,20/09/2016,New Build
Bromley,Bromley,02/09/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,07/10/2016,Conversion
Bromley,Bromley,08/07/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,05/12/2016,Conversion
Lambeth,Lambeth,01/11/2016,New Build
Barnet,Barnet,27/05/2016,New Build
Southwark,Southwark,03/03/2016,Conversion
Kingston,Kingston upon Thames,06/12/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,10/10/2016,New Build
Enfield,Enfield,30/12/2016,New Build
Westminster,Westminster,31/03/2016,Conversion
Barnet,Barnet,08/11/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,10/11/2016,New Build
Barnet,Barnet,09/02/2016,New Build
Bexley,Bexley,28/06/2016,New Build
Croydon,Croydon,12/09/2016,New Build
Westminster,Westminster,11/09/2016,Conversion
Sutton,Sutton,01/03/2016,New Build
Newham,Newham,31/03/2016,New Build
Sutton,Sutton,01/04/2016,New Build
Richmond,Richmond upon Thames,14/03/2016,Conversion
Lambeth,Lambeth,20/11/2016,New Build
Kingston,Kingston upon Thames,19/05/2016,New Build
Richmond,Richmond upon Thames,30/09/2016,New Build
Ealing,Ealing,20/06/2016,Conversion
Richmond,Richmond upon Thames,14/10/2016,Conversion
Richmond,Richmond upon Thames,14/08/2016,New Build
Enfield,Enfield,09/05/2016,Conversion
Bromley,Bromley,17/11/2016,New Build
Southwark,Southwark,03/07/2016,New Build
Newham,Newham,31/03/2016,New Build
Lambeth,Lambeth,24/03/2016,New Build
Ealing,Ealing,10/10/2016,New Build
Bromley,Bromley,17/02/2016,New Build
Sutton,Sutton,01/08/2016,New Build
Croydon,Croydon,31/05/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,06/05/2016,Conversion
Southwark,Southwark,03/03/2016,New Build
Ealing,Ealing,24/06/2016,Conversion
Richmond,Richmond upon Thames,31/10/2016,Conversion
Ealing,Ealing,22/07/2016,New Build
Ealing,Ealing,19/07/2016,New Build
Lambeth,Lambeth,24/10/2016,New Build
Lambeth,Lambeth,01/07/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,29/07/2016,Conversion
Enfield,Enfield,30/06/2016,New Build
Ealing,Ealing,10/10/2016,New Build
Sutton,Sutton,01/04/2016,Conversion
Lambeth,Lambeth,09/08/2016,Conversion
Bexley,Bexley,23/08/2016,Conversion
Southwark,Southwark,06/02/2016,New Build
Ealing,Ealing,01/01/2016,New Build
Ealing,Ealing,24/06/2016,Conversion
Croydon,Croydon,23/08/2016,Conversion
Lambeth,Lambeth,25/05/2016,Conversion
Southwark,Southwark,13/10/2016,Conversion
Richmond,Richmond upon Thames,01/02/2016,New Build
Enfield,Enfield,31/03/2016,New Build
Croydon,Croydon,12/09/2016,New Build
Lambeth,Lambeth,08/03/2016,New Build
Sutton,Sutton,31/03/2016,New Build
Croydon,Croydon,25/08/2016,Conversion
Bromley,Bromley,03/10/2016,Conversion
Kingston,Kingston upon Thames,01/08/2016,New Build
Barnet,Barnet,15/02/2016,Conversion
Westminster,Westminster,01/10/2016,Conversion
Enfield,Enfield,18/09/2016,Conversion
Richmond,Richmond upon Thames,28/10/2016,New Build
Newham,Newham,31/03/2016,New Build
Westminster,Westminster,31/03/2016,Conversion
Southwark,Southwark,03/03/2016,Conversion
Bromley,Bromley,06/03/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,15/09/2016,New Build
Ealing,Ealing,15/01/2016,New Build
Richmond,Richmond upon Thames,14/03/2016,New Build
Westminster,Westminster,31/03/2016,New Build
Lambeth,Lambeth,31/03/2016,Conversion
Barnet,Barnet,09/04/2016,Conversion
Barnet,Barnet,01/07/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,03/06/2016,Conversion
Lambeth,Lambeth,13/05/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,15/04/2016,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,19/05/2016,Conversion
Croydon,Croydon,06/01/2016,New Build
Sutton,Sutton,31/03/2016,New Build
Croydon,Croydon,26/08/2016,New Build
Newham,Newham,31/03/2016,New Build
Croydon,Croydon,09/08/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,02/08/2016,Conversion
Barnet,Barnet,23/06/2016,New Build
Ealing,Ealing,10/10/2016,New Build
Westminster,Westminster,24/11/2016,Conversion
Southwark,Southwark,03/03/2016,New Build
Sutton,Sutton,01/03/2016,New Build
Southwark,Southwark,09/04/2016,New Build
Richmond,Richmond upon Thames,14/03/2016,Conversion
Bromley,Bromley,25/04/2016,New Build
Enfield,Enfield,20/10/2016,Conversion
Croydon,Croydon,16/03/2016,Conversion
Croydon,Croydon,26/08/2016,Conversion
Ealing,Ealing,13/10/2016,Conversion
Croydon,Croydon,25/08/2016,Conversion
Barnet,Barnet,21/09/2016,New Build
Kingston,Kingston upon Thames,23/11/2016,New Build
Ealing,Ealing,01/08/2016,Conversion
Ealing,Ealing,05/10/2016,Conversion
Lambeth,Lambeth,06/07/2016,New Build
Enfield,Enfield,30/09/2016,Conversion
Southwark,Southwark,20/06/2016,Conversion
Southwark,Southwark,06/06/2016,New Build
Barnet,Barnet,31/10/2016,New Build
Newham,Newham,31/08/2016,Conversion
Croydon,Croydon,31/03/2016,Conversion
Ealing,Ealing,01/01/2016,New Build
Sutton,Sutton,01/06/2016,New Build
Westminster,Westminster,16/10/2016,New Build
Sutton,Sutton,01/04/2016,Conversion
Westminster,Westminster,31/03/2016,Conversion
Westminster,Westminster,15/03/2016,New Build
Ealing,Ealing,01/10/2016,New Build
Newham,Newham,31/03/2016,New Build
Newham,Newham,31/03/2016,New Build
Westminster,Westminster,25/11/2016,New Build
Bexley,Bexley,23/08/2016,New Build
Westminster,Westminster,01/05/2016,New Build
Southwark,Southwark,03/03/2016,New Build
Ealing,Ealing,11/06/2016,New Build
Croydon,Croydon,02/02/2016,Conversion
Newham,Newham,04/11/2016,Conversion
Southwark,Southwark,01/03/2016,New Build
Barnet,Barnet,10/12/2016,Conversion
Newham,Newham,18/08/2016,Conversion
Enfield,Enfield,02/11/2016,Conversion
Southwark,Southwark,09/09/2016,New Build
Sutton,Sutton,01/04/2016,New Build
Bromley,Bromley,22/09/2016,New Build
Westminster,Westminster,31/03/2016,Conversion
Sutton,Sutton,01/09/2016,Conversion
Croydon,Croydon,18/08/2016,New Build
Croydon,Croydon,06/12/2016,New Build
Richmond,Richmond upon Thames,28/11/2016,Conversion
Bromley,Bromley,12/04/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,06/06/2016,New Build
Newham,Newham,13/12/2016,Conversion
Ealing,Ealing,22/07/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,11/07/2016,New Build
Kingston,Kingston upon Thames,16/07/2016,New Build
Westminster,Westminster,01/06/2016,Conversion
Bromley,Bromley,27/06/2016,New Build
Kingston,Kingston upon Thames,15/02/2016,New Build
Westminster,Westminster,08/03/2016,Conversion
Barnet,Barnet,01/09/2016,New Build
Croydon,Croydon,10/06/2016,New Build
Sutton,Sutton,31/03/2016,New Build
Sutton,Sutton,31/03/2016,New Build
Westminster,Westminster,22/02/2016,Conversion
Southwark,Southwark,03/03/2016,New Build
Enfield,Enfield,30/09/2016,New Build
Southwark,Southwark,10/10/2016,New Build
Kingston,Kingston upon Thames,23/03/2016,New Build
Croydon,Croydon,23/08/2016,Conversion
Westminster,Westminster,26/07/2016,Conversion
Enfield,Enfield,08/11/2016,Conversion
Barnet,Barnet,19/07/2016,Conversion
Southwark,Southwark,03/03/2016,Conversion
Richmond,Richmond upon Thames,14/03/2016,Conversion
Ealing,Ealing,10/10/2016,Conversion
Ealing,Ealing,01/05/2016,Conversion
Richmond,Richmond upon Thames,07/10/2016,New Build
Bromley,Bromley,04/05/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,19/10/2016,Conversion
Ealing,Ealing,20/08/2016,Conversion
Croydon,Croydon,26/08/2016,New Build
Bromley,Bromley,29/11/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,30/11/2016,Conversion
Southwark,Southwark,10/10/2016,New Build
Barnet,Barnet,23/12/2016,Conversion
Croydon,Croydon,16/09/2016,New Build
Sutton,Sutton,29/01/2016,Conversion
Newham,Newham,15/02/2016,Conversion
Lambeth,Lambeth,20/05/2016,New Build
Ealing,Ealing,12/12/2016,New Build
Westminster,Westminster,17/03/2016,New Build
Bromley,Bromley,10/11/2016,New Build
Bromley,Bromley,03/10/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,16/03/2016,Conversion
Croydon,Croydon,21/09/2016,New Build
Enfield,Enfield,26/08/2016,New Build
Bexley,Bexley,24/02/2016,Conversion
Westminster,Westminster,11/03/2016,Conversion
Westminster,Westminster,22/03/2016,Conversion
Richmond,Richmond upon Thames,01/04/2016,New Build
Croydon,Croydon,23/08/2016,New Build
Bromley,Bromley,29/06/2016,New Build
Kingston,Kingston upon Thames,16/09/2016,New Build
Ealing,Ealing,01/11/2016,New Build
Hammersmith & Fulham,Hammersmith and Fulham,25/08/2016,Conversion
Westminster,Westminster,08/03/2016,Conversion
Sutton,Sutton,31/03/2016,New Build
Croydon,Croydon,07/04/2016,New Build
