lpa_name,borough,actual_completion_date,development_type
Wandsworth,Wandsworth,19/06/2015,New Build
Westminster,Westminster,01/10/2015,Conversion
Merton,Merton,07/09/2015,Conversion
Bromley,Bromley,05/11/2015,New Build
Bromley,Bromley,10/09/2015,New Build
Bromley,Bromley,11/12/2015,New Build
Bromley,Bromley,02/09/2015,New Build
Bromley,Bromley,07/12/2015,New Build
Bromley,Bromley,10/02/2015,New Build
Bromley,Bromley,16/10/2015,New Build
Bromley,Bromley,02/11/2015,New Build
Sutton,Sutton,01/04/2015,New Build
Croydon,Croydon,31/03/2015,New Build
Lambeth,Lambeth,02/09/2015,New Build
Croydon,Croydon,19/02/2015,New Build
Lambeth,Lambeth,29/06/2015,Conversion
Enfield,Enfield,18/03/2015,Conversion
Richmond,Richmond upon Thames,01/04/2015,Conversion
Croydon,Croydon,23/10/2015,Conversion
Bexley,Bexley,26/08/2015,New Build
Bexley,Bexley,19/11/2015,New Build
Newham,Newham,23/11/2015,Conversion
Sutton,Sutton,28/08/2015,New Build
Kingston,Kingston upon Thames,04/08/2015,New Build
Newham,Newham,20/05/2015,Conversion
Barnet,Barnet,01/09/2015,New Build
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2015,Conversion
Kingston,Kingston upon Thames,16/11/2015,Conversion
Sutton,Sutton,27/05/2015,Conversion
Croydon,Croydon,19/11/2015,Conversion
Croydon,Croydon,30/12/2015,New Build
Croydon,Croydon,19/10/2015,New Build
Bromley,Bromley,02/04/2015,New Build
Westminster,Westminster,31/03/2015,Conversion
Barnet,Barnet,15/04/2015,Conversion
Westminster,Westminster,31/03/2015,Conversion
Westminster,Westminster,01/01/2015,Conversion
Sutton,Sutton,01/04/2015,New Build
Barnet,Barnet,01/03/2015,New Build
Barnet,Barnet,01/07/2015,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2015,New Build
Barnet,Barnet,19/01/2015,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2015,Conversion
Sutton,Sutton,28/08/2015,New Build
Westminster,Westminster,31/03/2015,New Build
Newham,Newham,13/04/2015,Conversion
Bromley,Bromley,28/10/2015,New Build
Westminster,Westminster,30/06/2015,New Build
Hammersmith & Fulham,Hammersmith and Fulham,05/02/2015,Conversion
Kingston,Kingston upon Thames,27/02/2015,New Build
Lambeth,Lambeth,26/08/2015,Conversion
Barnet,Barnet,29/07/2015,New Build
Southwark,Southwark,01/01/2015,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2015,Conversion
Southwark,Southwark,10/10/2015,New Build
Croydon,Croydon,20/03/2015,New Build
Richmond,Richmond upon Thames,30/11/2015,New Build
Lambeth,Lambeth,10/02/2015,Conversion
Barnet,Barnet,20/10/2015,New Build
Lambeth,Lambeth,05/06/2015,New Build
Enfield,Enfield,22/01/2015,Conversion
Newham,Newham,03/06/2015,Conversion
Lambeth,Lambeth,11/04/2015,Conversion
Richmond,Richmond upon Thames,30/11/2015,Conversion
Southwark,Southwark,11/12/2015,Conversion
Enfield,Enfield,11/03/2015,Conversion
Sutton,Sutton,01/04/2015,New Build
Southwark,Southwark,13/07/2015,Conversion
Croydon,Croydon,01/04/2015,New Build
Bromley,Bromley,19/08/2015,New Build
Sutton,Sutton,27/05/2015,Conversion
Southwark,Southwark,14/10/2015,Conversion
Croydon,Croydon,16/12/2015,New Build
Richmond,Richmond upon Thames,27/08/2015,New Build
Bromley,Bromley,09/12/2015,New Build
Barnet,Barnet,03/09/2015,Conversion
Barnet,Barnet,23/12/2015,New Build
Westminster,Westminster,01/07/2015,Conversion
Croydon,Croydon,19/11/2015,Conversion
Southwark,Southwark,01/01/2015,New Build
Ealing,Ealing,13/04/2015,New Build
Newham,Newham,06/10/2015,Conversion
Lambeth,Lambeth,02/03/2015,New Build
Lambeth,Lambeth,10/08/2015,Conversion
Bromley,Bromley,25/06/2015,New Build
Bromley,Bromley,14/12/2015,New Build
Barnet,Barnet,31/07/2015,New Build
Westminster,Westminster,31/03/2015,Conversion
Barnet,Barnet,19/02/2015,Conversion
Bromley,Bromley,22/04/2015,New Build
Sutton,Sutton,09/03/2015,New Build
Newham,Newham,20/05/2015,Conversion
Westminster,Westminster,31/03/2015,Conversion
Barnet,Barnet,02/11/2015,Conversion
Newham,Newham,04/09/2015,Conversion
Bexley,Bexley,26/05/2015,New Build
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2015,Conversion
Lambeth,Lambeth,27/10/2015,Conversion
Bromley,Bromley,31/10/2015,New Build
Bromley,Bromley,26/02/2015,New Build
Newham,Newham,06/01/2015,Conversion
Lambeth,Lambeth,18/05/2015,Conversion
Kingston,Kingston upon Thames,01/12/2015,New Build
Enfield,Enfield,31/08/2015,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,31/03/2015,Conversion
Ealing,Ealing,20/07/2015,New Build
Bromley,Bromley,19/01/2015,New Build
Enfield,Enfield,02/02/2015,New Build
Sutton,Sutton,01/09/2015,New Build
Richmond,Richmond upon Thames,01/11/2015,Conversion
Barnet,Barnet,01/08/2015,Conversion
Westminster,Westminster,28/01/2015,Conversion
Bromley,Bromley,26/03/2015,Conversion
Enfield,Enfield,01/09/2015,Conversion
Richmond,Richmond upon Thames,01/11/2015,Conversion
Kingston,Kingston upon Thames,10/02/2015,Conversion
Barnet,Barnet,11/06/2015,New Build
Lambeth,Lambeth,01/05/2015,Conversion
Lambeth,Lambeth,01/02/2015,Conversion
Bromley,Bromley,13/02/2015,New Build
Richmond,Richmond upon Thames,30/11/2015,Conversion
Lambeth,Lambeth,05/10/2015,New Build
Croydon,Croydon,19/10/2015,New Build
Richmond,Richmond upon Thames,01/07/2015,New Build
Croydon,Croydon,19/02/2015,New Build
Southwark,Southwark,07/03/2015,New Build
Bexley,Bexley,26/08/2015,New Build
Enfield,Enfield,19/06/2015,Conversion
Newham,Newham,04/08/2015,Conversion
Westminster,Westminster,31/03/2015,Conversion
Westminster,Westminster,31/03/2015,Conversion
Croydon,Croydon,12/05/2015,New Build
Barnet,Barnet,27/06/2015,New Build
Lambeth,Lambeth,27/07/2015,Conversion
Bexley,Bexley,26/08/2015,Conversion
Bromley,Bromley,03/07/2015,New Build
Lambeth,Lambeth,14/09/2015,New Build
Southwark,Southwark,04/03/2015,New Build
Southwark,Southwark,03/03/2015,New Build
Enfield,Enfield,01/09/2015,Conversion
Ealing,Ealing,27/07/2015,New Build
Newham,Newham,25/08/2015,Conversion
Croydon,Croydon,21/12/2015,New Build
Hammersmith & Fulham,Hammersmith and Fulham,07/07/2015,Conversion
Ealing,Ealing,07/08/2015,Conversion
Westminster,Westminster,15/12/2015,New Build
Westminster,Westminster,01/02/2015,Conversion
Hammersmith & Fulham,Hammersmith and Fulham,27/07/2015,Conversion
Kingston,Kingston upon Thames,18/03/2015,New Build
Enfield,Enfield,26/01/2015,New Build
Bromley,Bromley,24/03/2015,Conversion
Westminster,Westminster,31/03/2015,New Build
Newham,Newham,31/03/2015,Conversion
Newham,Newham,04/03/2015,Conversion
Barnet,Barnet,06/08/2015,Conversion
Enfield,Enfield,03/11/2015,Conversion
Southwark,Southwark,07/07/2015,Conversion
Newham,Newham,04/08/2015,Conversion
Bromley,Bromley,23/01/2015,New Build
Sutton,Sutton,01/04/2015,Conversion
Westminster,Westminster,31/03/2015,New Build
Newham,Newham,16/07/2015,Conversion
Ealing,Ealing,19/08/2015,Conversion
Barnet,Barnet,05/08/2015,Conversion
Bexley,Bexley,25/08/2015,Conversion
Ealing,Ealing,01/08/2015,New Build
Sutton,Sutton,31/03/2015,New Build
Sutton,Sutton,31/03/2015,Conversion
Barnet,Barnet,20/03/2015,New Build
Tower Hamlets,Tower Hamlets,08/04/2015,New Build
Havering,Havering,10/06/2015,New Build
Brent,Brent,22/12/2015,New Build
Hillingdon,Hillingdon,01/11/2015,New Build
Havering,Havering,09/03/2015,New Build
Camden,Camden,22/07/2015,New Build
Lewisham,Lewisham,01/05/2015,New Build
Redbridge,Redbridge,20/02/2015,New Build
Hackney,Hackney,01/01/2015,Conversion
Hackney,Hackney,15/10/2015,New Build
Lewisham,Lewisham,12/10/2015,New Build
Hillingdon,Hillingdon,30/09/2015,New Build
Havering,Havering,26/01/2015,New Build
Hillingdon,Hillingdon,13/08/2015,New Build
Hillingdon,Hillingdon,28/08/2015,New Build
Wandsworth,Wandsworth,01/04/2015,New Build
Camden,Camden,23/07/2015,New Build
Hillingdon,Hillingdon,01/04/2015,New Build
Hackney,Hackney,01/10/2015,New Build
Tower Hamlets,Tower Hamlets,01/07/2015,New Build
Merton,Merton,26/03/2015,New Build
Lewisham,Lewisham,28/08/2015,New Build
Hackney,Hackney,30/11/2015,Conversion
Lewisham,Lewisham,30/11/2015,Conversion
LLDC,Newham,31/07/2015,New Build
Havering,Havering,16/06/2015,New Build
Tower Hamlets,Tower Hamlets,01/10/2015,New Build
Merton,Merton,22/12/2015,New Build
Tower Hamlets,Tower Hamlets,01/09/2015,New Build
Brent,Brent,19/05/2015,Conversion
Merton,Merton,30/08/2015,New Build
Brent,Brent,07/07/2015,New Build
Havering,Havering,04/02/2015,New Build
Camden,Camden,29/06/2015,Conversion
Lewisham,Lewisham,20/10/2015,New Build
Camden,Camden,23/04/2015,New Build
Wandsworth,Wandsworth,31/03/2015,New Build
LLDC,Tower Hamlets,20/07/2015,Conversion
Hackney,Hackney,02/05/2015,New Build
Redbridge,Redbridge,18/03/2015,Conversion
Havering,Havering,09/01/2015,New Build
Hillingdon,Hillingdon,01/04/2015,New Build
Havering,Havering,04/06/2015,New Build
Hackney,Hackney,16/06/2015,Conversion
Tower Hamlets,Tower Hamlets,12/02/2015,New Build
Brent,Brent,26/02/2015,New Build
Brent,Brent,25/02/2015,New Build
Brent,Brent,15/05/2015,Conversion
Hackney,Hackney,27/02/2015,New Build
Hackney,Hackney,30/11/2015,Conversion
Hackney,Hackney,17/06/2015,Conversion
Camden,Camden,15/10/2015,New Build
Tower Hamlets,Tower Hamlets,05/11/2015,New Build
Brent,Brent,01/09/2015,Conversion
Tower Hamlets,Tower Hamlets,27/10/2015,New Build
Merton,Merton,24/11/2015,New Build
Tower Hamlets,Tower Hamlets,28/06/2015,New Build
City of London,City of London,31/03/2015,New Build
Hackney,Hackney,16/04/2015,New Build
Brent,Brent,17/02/2015,Conversion
Hillingdon,Hillingdon,01/08/2015,New Build
Wandsworth,Wandsworth,31/03/2015,Conversion
Wandsworth,Wandsworth,31/03/2015,Conversion
Camden,Camden,11/08/2015,New Build
Hillingdon,Hillingdon,13/07/2015,New Build
Brent,Brent,31/12/2015,Conversion
Camden,Camden,18/02/2015,New Build
Havering,Havering,26/03/2015,New Build
Hillingdon,Hillingdon,14/09/2015,New Build
Lewisham,Lewisham,23/03/2015,Conversion
Brent,Brent,01/07/2015,New Build
Hackney,Hackney,14/12/2015,Conversion
Wandsworth,Wandsworth,06/02/2015,Conversion
Redbridge,Redbridge,28/07/2015,New Build
Havering,Havering,30/03/2015,New Build
Havering,Havering,12/06/2015,New Build
Camden,Camden,01/04/2015,New Build
Brent,Brent,10/02/2015,Conversion
Hillingdon,Hillingdon,04/05/2015,New Build
Tower Hamlets,Tower Hamlets,26/02/2015,New Build
Havering,Havering,02/12/2015,New Build
Tower Hamlets,Tower Hamlets,03/02/2015,New Build
Wandsworth,Wandsworth,31/03/2015,New Build
Camden,Camden,09/04/2015,Conversion
Wandsworth,Wandsworth,31/03/2015,Conversion
Camden,Camden,23/06/2015,Conversion
Tower Hamlets,Tower Hamlets,15/04/2015,New Build
Tower Hamlets,Tower Hamlets,10/03/2015,New Build
Camden,Camden,26/06/2015,New Build
Merton,Merton,25/12/2015,New Build
Hackney,Hackney,17/12/2015,Conversion
Brent,Brent,24/11/2015,Conversion
Lewisham,Lewisham,14/04/2015,New Build
Hillingdon,Hillingdon,01/06/2015,New Build
Hackney,Hackney,10/08/2015,Conversion
Havering,Havering,08/06/2015,New Build
Brent,Brent,29/07/2015,New Build
Wandsworth,Wandsworth,22/12/2015,Conversion
Redbridge,Redbridge,03/09/2015,New Build
Hillingdon,Hillingdon,21/08/2015,New Build
Tower Hamlets,Tower Hamlets,31/03/2015,New Build
